brand,model,category,source,sourceType,sourceId
LG,22LJ4540,Televisions,Office Depot,retailer,4
Samsung,UN32J4000CF,Televisions,Office Depot,retailer,4
VIZIO,D50n-E1,Televisions,Office Depot,retailer,4
Samsung,UN32M4500AF,Televisions,Office Depot,retailer,4
VIZIO,D50-E1,Televisions,Office Depot,retailer,4
Samsung,UN49M5300AF,Televisions,Office Depot,retailer,4
TCL,43S405,Televisions,Office Depot,retailer,4
TCL,32D100,Televisions,Office Depot,retailer,4
Samsung,UN55J6201AF,Televisions,Office Depot,retailer,4
VIZIO,D39f-E1,Televisions,Office Depot,retailer,4
Samsung,UN55MU7500F,Televisions,Office Depot,retailer,4
VIZIO,D39hn-D0,Televisions,Office Depot,retailer,4
Samsung,UN43J5000EF,Televisions,Office Depot,retailer,4
TCL,65S405,Televisions,Office Depot,retailer,4
LG,43LJ5000,Televisions,Office Depot,retailer,4
TCL,32S305,Televisions,Office Depot,retailer,4
TCL,65C807,Televisions,Office Depot,retailer,4
ProScan,PLED2435A,Televisions,Office Depot,retailer,4
VIZIO,M65-D0,Televisions,Office Depot,retailer,4
Polaroid,24GSR3000SA,Televisions,Office Depot,retailer,4
TCL,55C807,Televisions,Office Depot,retailer,4
VIZIO,D43-E2,Televisions,Office Depot,retailer,4
VIZIO,D32HN-E4,Televisions,Office Depot,retailer,4
TCL,40S305,Televisions,Office Depot,retailer,4
LG,49LJ5100,Televisions,Office Depot,retailer,4
TCL,40D100,Televisions,Office Depot,retailer,4
Samsung,UN50M5300AFXZA,Televisions,Office Depot,retailer,4
Hisense,32H3B1,Televisions,Office Depot,retailer,4
VIZIO,D55-E0,Televisions,Office Depot,retailer,4
Samsung,UN28M4500AF,Televisions,Office Depot,retailer,4
ProScan,PLDED3273A,Televisions,Office Depot,retailer,4
TCL,28S305,Televisions,Office Depot,retailer,4
Samsung,QN75Q8CAMF,Televisions,Office Depot,retailer,4
LG,65LX540S,Televisions,Office Depot,retailer,4
Samsung,UN43MU6300F,Televisions,Office Depot,retailer,4
Hisense,65H9D Plus,Televisions,Office Depot,retailer,4
LG,65LX341C,Televisions,Office Depot,retailer,4
LG,55SJ8500,Televisions,Office Depot,retailer,4
LG,24LJ4540,Televisions,Office Depot,retailer,4
LG,43LJ5500,Televisions,Office Depot,retailer,4
LG,32LJ500B,Televisions,Office Depot,retailer,4
Samsung,QN55Q8CAMF,Televisions,Office Depot,retailer,4
Samsung,UN65MU7500F,Televisions,Office Depot,retailer,4
Samsung,QN65Q8CAMF,Televisions,Office Depot,retailer,4
LG,43UX340C,Televisions,Office Depot,retailer,4
Samsung,QN75Q9FAMF,Televisions,Office Depot,retailer,4
TCL,49D100,Televisions,Office Depot,retailer,4
TCL,55S405,Televisions,Office Depot,retailer,4
VIZIO,D24H-E1,Televisions,Office Depot,retailer,4
Hisense,40H3D,Televisions,Office Depot,retailer,4
ProScan,,Televisions,Office Depot,retailer,4
TCL,43S305,Televisions,Office Depot,retailer,4
Samsung,88Q9F,Televisions,Office Depot,retailer,4
Samsung,UN40M5300AF,Televisions,Office Depot,retailer,4
Samsung,UN65KS8500F,Televisions,Office Depot,retailer,4
TCL,49S305,Televisions,Office Depot,retailer,4
LG,75UV340C,Televisions,Office Depot,retailer,4
Samsung,QN65Q9FAMF,Televisions,Office Depot,retailer,4
ProScan,PLDED4016A,Televisions,Office Depot,retailer,4
Samsung,UN49MU7500F,Televisions,Office Depot,retailer,4
Hauppauge,1528,Streaming Media Players,Office Depot,retailer,4
RCA,CRF907,Streaming Media Players,Office Depot,retailer,4
Tripp Lite,P116-000-HDSC2,Streaming Media Players,Office Depot,retailer,4
TCL,49S405,Televisions,Office Depot,retailer,4
Sangean,WFR-28,Streaming Media Players,Office Depot,retailer,4
VanCryst,VC080,Streaming Media Players,Office Depot,retailer,4
Tripp Lite,U244-001-R,Streaming Media Players,Office Depot,retailer,4
Matrox,,Streaming Media Players,Office Depot,retailer,4
VanCryst,VC060,Streaming Media Players,Office Depot,retailer,4
C2G,,Streaming Media Players,Office Depot,retailer,4
AVerMedia,,Streaming Media Players,Office Depot,retailer,4
Samsung,UN49MU6500F,Televisions,Office Depot,retailer,4
Polk Audio,Omni P1,Streaming Media Players,Office Depot,retailer,4
HP,,Streaming Media Players,Office Depot,retailer,4
Roku,Ultra 4660R,Streaming Media Players,Office Depot,retailer,4
StarTech,USB2VGAE2,Streaming Media Players,Office Depot,retailer,4
Roku,Streaming Stick 3800R,Streaming Media Players,Office Depot,retailer,4
Roku,3600R,Streaming Media Players,Office Depot,retailer,4
Google,Chromecast V3,Streaming Media Players,Office Depot,retailer,4
Amazon,Fire TV Stick with Alexa Voice Remote,Streaming Media Players,Office Depot,retailer,4
Roku,Express 3900R,Streaming Media Players,Office Depot,retailer,4
Bosch,X1600 XF,Streaming Media Players,Office Depot,retailer,4
Diamond,WPCTV3000,Streaming Media Players,Office Depot,retailer,4
AXIS,Q7401,Streaming Media Players,Office Depot,retailer,4
Kramer,VP-425,Streaming Media Players,Office Depot,retailer,4
StarTech,,Streaming Media Players,Office Depot,retailer,4
Gefen,,Streaming Media Players,Office Depot,retailer,4
Roku,Streaming Stick Plus 3810R,Streaming Media Players,Office Depot,retailer,4
Amazon,,Streaming Media Players,Office Depot,retailer,4
Google,GA3A00147-A14-Z01,Streaming Media Players,Office Depot,retailer,4
Gefen,GTV-COMPSVID-2-HDMIS,Streaming Media Players,Office Depot,retailer,4
VanCryst,VC010,Streaming Media Players,Office Depot,retailer,4
Supersonic,SC-37HT,Home Theater Systems,Office Depot,retailer,4
Sylvania,SDVD5088,Home Theater Systems,Office Depot,retailer,4
Polk,SurroundBar 9000IHT,Home Theater Systems,Office Depot,retailer,4
PylePro,PT798SBA,Home Theater Systems,Office Depot,retailer,4
HeatStar,,Home Theater Systems,Office Depot,retailer,4
Technical Pro,DV4000," Blu-Ray & DVD Players",Office Depot,retailer,4
LG,BP350," Blu-Ray & DVD Players",Office Depot,retailer,4
Samsung,BD-J5700," Blu-Ray & DVD Players",Office Depot,retailer,4
DPI,DH300B," Blu-Ray & DVD Players",Office Depot,retailer,4
LG,BP255," Blu-Ray & DVD Players",Office Depot,retailer,4
Kramer,VP-409,Streaming Media Players,Office Depot,retailer,4
Samsung,BD-J6300," Blu-Ray & DVD Players",Office Depot,retailer,4
Samsung,BD-J5100," Blu-Ray & DVD Players",Office Depot,retailer,4
Panasonic,DVD-S500," Blu-Ray & DVD Players",Office Depot,retailer,4
LG,DP132," Blu-Ray & DVD Players",Office Depot,retailer,4
Hyundai,,Android Tablets,Office Depot,retailer,4
Hyundai,,Android Tablets,Office Depot,retailer,4
NuVision,TM800A730M,Android Tablets,Office Depot,retailer,4
Hyundai,HT0702W08,Android Tablets,Office Depot,retailer,4
GPX,D200B," Blu-Ray & DVD Players",Office Depot,retailer,4
Hyundai,HT1003X16,Android Tablets,Office Depot,retailer,4
Hyundai,HT1002W16,Android Tablets,Office Depot,retailer,4
Samsung,SM-T350NZWAXAR,Android Tablets,Office Depot,retailer,4
Hyundai,HT0702W08,Android Tablets,Office Depot,retailer,4
Samsung,HT-J5500W,Home Theater Systems,Office Depot,retailer,4
Samsung,HT-J4500,Home Theater Systems,Office Depot,retailer,4
Acer,B1-850-K1KK,Android Tablets,Office Depot,retailer,4
ASUS,Z380M-A2-GR,Android Tablets,Office Depot,retailer,4
Hyundai,HT1002W16,Android Tablets,Office Depot,retailer,4
Hyundai,HT1003X16,Android Tablets,Office Depot,retailer,4
Hyundai,HT0702W08,Android Tablets,Office Depot,retailer,4
Zeepad,7DRK,Android Tablets,Office Depot,retailer,4
Samsung,SM-T820,Android Tablets,Office Depot,retailer,4
Hyundai,Koral 10XK,Android Tablets,Office Depot,retailer,4
Hyundai,,Android Tablets,Office Depot,retailer,4
Samsung,SM-T350NZAAXAR,Android Tablets,Office Depot,retailer,4
Samsung,SM-T820,Android Tablets,Office Depot,retailer,4
ASUS,Z300M-A2-GD,Android Tablets,Office Depot,retailer,4
Samsung,SM-T280NZWAXAR,Android Tablets,Office Depot,retailer,4
Samsung,SM-T580NZKAXAR,Android Tablets,Office Depot,retailer,4
Samsung,SM-T380NZKEXAR,Android Tablets,Office Depot,retailer,4
Zeepad,7DRK,Android Tablets,Office Depot,retailer,4
ASUS,Z500M-C1-GR,Android Tablets,Office Depot,retailer,4
HP,,Android Tablets,Office Depot,retailer,4
HP,,Android Tablets,Office Depot,retailer,4
Hyundai,HT0702W08,Android Tablets,Office Depot,retailer,4
Zeepad,7DRK-Q,Android Tablets,Office Depot,retailer,4
ASUS,Z301M-A2-GR,Android Tablets,Office Depot,retailer,4
Samsung,SM-T380NZSEXAR,Android Tablets,Office Depot,retailer,4
Supersonic,SC-35HT,Home Theater Systems,Office Depot,retailer,4
